code,page Url,audio Url
AC,https://macaulaylibrary.org/asset/303371451,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303371451/audio
AC,https://macaulaylibrary.org/asset/243940461,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/243940461/audio
AC,https://macaulaylibrary.org/asset/134803981,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/134803981/audio
AC,https://macaulaylibrary.org/asset/93967361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/93967361/audio
AC,https://macaulaylibrary.org/asset/108091,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/108091/audio
AC,https://macaulaylibrary.org/asset/108061,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/108061/audio
SE,https://macaulaylibrary.org/asset/441786011,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441786011/audio
SE,https://macaulaylibrary.org/asset/441492441,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441492441/audio
SE,https://macaulaylibrary.org/asset/426206471,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/426206471/audio
SE,https://macaulaylibrary.org/asset/217665941,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/217665941/audio
SE,https://macaulaylibrary.org/asset/201352331,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201352331/mp4/1280
SE,https://macaulaylibrary.org/asset/201352321,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201352321/mp4/1280
SE,https://macaulaylibrary.org/asset/28857261,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/28857261/audio
SE,https://macaulaylibrary.org/asset/25283931,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/25283931/audio
PA,https://macaulaylibrary.org/asset/207732751,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207732751/audio
PA,https://macaulaylibrary.org/asset/201101181,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201101181/mp4/1280
PA,https://macaulaylibrary.org/asset/66084001,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66084001/audio
PA,https://macaulaylibrary.org/asset/28591201,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/28591201/audio
